,ISO 3166-1 numeric code,Location,pop1950,pop1955,pop1960,pop1965,pop1970,1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015
205,388,Jamaica,1 402.899,1 540.623,1 628.252,1 756.266,1 875.381,2 027.737,2 163.045,2 338.638,2 424.242,2 537.440,2 656.864,2 744.673,2 817.210,2 871.934
206,474,Martinique,222.002,245.676,281.622,311.127,325.011,327.838,325.454,339.876,358.449,368.732,387.004,397.047,394.91,385.842
207,500,Montserrat,13.519,14.297,12.102,11.84,11.625,11.781,11.92,11.324,10.73,10.233,4.955,4.778,4.944,5.124
208,630,Puerto Rico,2 218.000,2 247.415,2 355.570,2 577.524,2 709.841,2 931.886,3 187.671,3 369.679,3 517.975,3 689.641,3 796.977,3 765.399,3 716.693,3 673.728
209,659,Saint Kitts and Nevis,46.049,48.492,51.195,49.214,44.885,44.276,43.21,42.013,40.834,42.891,45.374,48.611,51.445,54.288
210,662,Saint Lucia,82.784,86.654,89.897,96.302,104.16,109.769,117.987,126.418,138.185,147.044,156.949,163.714,172.58,177.206
211,670,Saint Vincent and the Grenadines,66.998,73.523,80.949,85.97,90.452,95.611,100.505,104.477,107.505,108.122,107.898,108.744,109.315,109.455
212,534,Sint Maarten (Dutch part),1.499,2.108,2.833,4.46,6.864,9.557,13.096,19.028,28.549,30.633,31.819,32.531,33.124,38.75
213,780,Trinidad and Tobago,645.635,740.035,848.479,912.417,945.993,1 011.490,1 085.308,1 170.928,1 221.900,1 255.001,1 267.984,1 296.934,1 328.100,1 360.092
214,796,Turks and Caicos Islands,5.051,5.197,5.726,5.672,5.633,6.548,7.519,9.506,11.552,15.332,18.873,26.448,30.994,34.339
215,850,United States Virgin Islands,26.797,29.682,33.135,50.233,64.726,86.47,99.08,105.28,103.756,107.392,108.722,107.793,106.149,104.977
216,916,Central America,38 057.205,44 119.706,51 519.119,60 109.628,69 925.350,81 379.531,92 665.273,103 629.337,114 731.120,126 844.081,137 992.226,148 211.558,160 556.595,172 635.109
217,84,Belize,68.919,79.87,92.064,106.119,122.182,133.26,144.155,164.921,187.552,206.963,247.315,283.277,321.608,359.288
218,188,Costa Rica,959.495,1 119.617,1 333.040,1 589.621,1 848.866,2 097.407,2 389.310,2 730.233,3 095.995,3 510.926,3 925.443,4 247.841,4 545.280,4 807.852
219,222,El Salvador,2 199.898,2 429.333,2 762.899,3 197.863,3 668.595,4 147.525,4 580.704,4 923.860,5 254.984,5 611.115,5 867.626,6 028.961,6 164.626,6 312.478
220,320,Guatemala,3 114.957,3 625.300,4 210.747,4 869.716,5 621.792,6 433.728,7 283.459,8 240.060,9 263.813,10 408.489,11 650.743,13 096.028,14 630.417,16 252.429
221,340,Honduras,1 546.724,1 771.351,2 038.637,2 346.010,2 716.659,3 153.261,3 678.286,4 281.189,4 955.328,5 709.051,6 524.283,7 373.430,8 194.778,8 960.829
222,484,Mexico,28 012.561,32 605.178,38 174.112,44 623.043,52 029.861,60 872.399,69 360.871,77 360.707,85 357.874,94 045.579,101 719.673,108 472.228,117 318.941,125 890.949
223,558,Nicaragua,1 294.992,1 508.025,1 774.699,2 062.630,2 398.096,2 796.746,3 249.910,3 709.091,4 144.565,4 612.228,5 026.796,5 379.328,5 737.723,6 082.035
224,591,Panama,859.659,981.032,1 132.921,1 314.626,1 519.299,1 745.205,1 978.578,2 219.276,2 471.009,2 739.730,3 030.347,3 330.465,3 643.222,3 969.249
225,931,South America,113 784.817,130 307.473,148 808.491,170 185.819,192 842.113,216 246.933,241 846.994,269 482.257,296 950.815,323 595.244,349 398.761,373 328.523,395 280.204,416 436.111
226,32,Argentina,17 150.336,18 929.346,20 619.075,22 283.390,23 973.058,26 066.975,28 105.888,30 388.783,32 729.739,34 994.814,37 057.452,39 145.488,41 223.889,43 417.765
227,68,Bolivia (Plurinational State of),3 089.646,3 365.360,3 693.449,4 070.590,4 505.778,5 009.257,5 589.575,6 211.550,6 856.244,7 566.714,8 339.512,9 125.409,9 918.242,10 724.705
228,76,Brazil,53 974.729,62 569.196,72 207.554,83 498.020,95 326.793,107 612.100,121 159.761,135 676.281,149 352.145,162 296.612,175 287.587,186 917.361,196 796.269,205 962.108
229,152,Chile,6 188.284,6 906.838,7 716.625,8 617.077,9 563.865,10 435.534,11 266.226,12 181.028,13 242.132,14 296.613,15 262.754,16 147.064,16 993.354,17 762.681
230,170,Colombia,12 340.899,14 225.204,16 480.383,19 144.223,22 061.215,24 756.973,27 737.900,31 011.688,34 271.565,37 441.977,40 403.958,43 285.634,45 918.097,48 228.697
231,218,Ecuador,3 470.159,3 957.485,4 545.550,5 250.119,6 072.527,6 987.391,7 976.445,9 045.979,10 218.091,11 440.583,12 628.596,13 735.233,14 934.690,16 144.368
232,238,Falkland Islands (Malvinas),2.259,2.204,2.15,2.078,2.001,1.917,1.848,1.855,1.989,2.435,2.882,2.939,2.852,2.898
233,254,French Guiana,25.472,28.49,32.032,38.892,47.93,56.223,66.977,86.439,115.784,137.4,163.165,203.826,234.181,268.691
234,328,Guyana,406.559,482.555,571.819,651.868,704.934,745.841,780.153,770.435,743.309,761.291,753.301,750.946,746.556,768.514
235,600,Paraguay,1 473.253,1 673.009,1 902.875,2 170.859,2 474.106,2 790.962,3 180.630,3 671.826,4 213.742,4 760.850,5 302.700,5 795.494,6 209.877,6 639.119
236,604,Peru,7 727.734,8 786.757,10 061.515,11 607.681,13 341.069,15 229.947,17 359.120,19 544.956,21 826.658,24 038.760,25 914.879,27 610.410,29 373.646,31 376.671
237,740,Suriname,215.002,250.088,289.966,331.793,371.273,362.654,362.777,371.47,407.472,443.724,472.39,498.946,526.103,553.208
238,858,Uruguay,2 238.507,2 372.568,2 538.651,2 694.537,2 809.803,2 830.172,2 915.778,3 011.908,3 109.989,3 224.804,3 321.245,3 325.612,3 374.415,3 431.552
239,862,Venezuela (Bolivarian Republic of),5 481.978,6 758.373,8 146.847,9 824.692,11 587.761,13 360.987,15 343.916,17 508.059,19 861.956,22 188.667,24 488.340,26 784.161,29 028.033,31 155.134
240,905,Northern America,172 602.624,187 593.528,204 806.567,219 611.692,231 144.706,242 471.964,254 413.646,266 816.288,280 345.440,295 113.733,312 845.026,327 545.823,342 936.927,356 003.541
241,60,Bermuda,37.26,40.755,44.946,49.209,52.286,54.99,56.992,58.92,60.93,62.696,64.028,65.13,63.956,62.003
242,124,Canada,13 733.402,15 738.362,17 917.236,19 703.883,21 452.737,23 156.209,24 537.422,25 873.949,27 692.680,29 330.073,30 735.773,32 287.980,34 168.668,35 949.709
243,304,Greenland,22.996,25.846,31.239,37.964,46.074,49.586,50.179,53.19,55.604,55.811,56.175,56.951,56.638,56.377
244,666,Saint Pierre and Miquelon,4.571,4.723,4.918,5.096,5.459,5.883,6.001,6.109,6.276,6.304,6.272,6.261,6.274,6.29
